id,glottocode,name,source,latitude,longitude,elevation,macroarea
2552,abkh1244,Abkhaz,ea,"43,056218","41,159115",539,Eurasia
2349,adyg1241,Adyghe,ea,44,"39,33",304,Eurasia
2310,kaba1278,Kabardian,ea,"43,5082","43,3918",1189,Eurasia
198,afad1236,KOTOKO,upsid,"12,0551","14,6343",287,Africa
1342,afar1241,Afar,gm,"12,2281","41,8083",354,Africa
1451,alab1254,Alaaba,gm,"7,39014","38,1732",1984,Africa
2156,amha1245,Amharic,uz,"11,708182","39,543456",3396,Africa
1525,arbo1245,Arbore,gm,"4,92183","36,7986",576,Africa
1396,argo1244,Argobba,gm,"10,6596",39756,2995,Africa
1542,awng1244,Awngi,gm,"10,9819","36,6916",2107,Africa
1437,bade1248,Bade,gm,12789,"10,6557",301,Africa
1248,bana1305,bana,gm,"10,3535","13,6131",913,Africa
1612,bare1279,Barein (Jalkiya),gm,"11,1168","18,0764",436,Africa
249,beja1238,BEJA,upsid,"17,2436","36,6666",370,Africa
1401,besl1239,Besleri,gm,NA,NA,NA,Africa
1332,bili1260,Blin,gm,"15,7833","38,3917",1663,Africa
1362,bora1271,Galla,gm,"1,05676",37882,719,Africa
1657,burj1242,Burji,gm,"4,44624","38,4646",1459,Africa
1402,buwa1243,Buwal,gm,"10,6151","13,8838",591,Africa
1609,cent2194,Tamazight Berber,gm,"32,7415","-2,40872",1355,Africa
866,cuvo1236,Cuvok,ph,"10,6448","14,0006",594,Africa
301,daha1245,DAHALO,upsid,"-2,1843","40,37",95,Africa
297,dang1274,DANGALEAT,upsid,"12,1517",18385,626,Africa
420,dera1248,KANAKURU,upsid,10072,"12,0256",213,Africa
1299,dghw1239,Dghwede,gm,"11,05751","13,77847",718,Africa
1552,east2652,"Oromo, Eastern",gm,"8,67428","41,4395",1317,Africa
132,egyp1253,Egyptian Arabic,spa,31,31,17,Africa
1377,fali1285,Kirya-Konzɘl,gm,"10,5419","13,4087",849,Africa
1577,gava1241,Gavar,gm,"10,5603","13,8188",614,Africa
901,gida1247,Kada,ph,"9,874715","14,07845",474,Africa
1543,glav1244,Glavda,gm,"11,1334","13,8652",407,Africa
1578,gude1246,Gu'de,gm,"10,2138",13403,855,Africa
1352,gwan1268,Gwandara (Karshi),gm,"9,20464","7,49931",709,Africa
1363,hadi1240,Hadiyya,gm,"7,57377","37,7577",2288,Africa
1397,hara1271,Harari,gm,"9,30485","42,1332",1853,Africa
